entry;word;type
1;fairy;homophobic
2;gay;homophobic
3;c0cksucker;homophobic
4;sucker;homophobic
5;cockmunch;homophobic
6;cocksuck;homophobic
7;cocksucks;homophobic
8;cocksuka;homophobic
9;cocksukka;homophobic
10;cokmuncher;homophobic
11;coksucka;homophobic
12;dykes;homophobic
13;fag;homophobic
14;fagging;homophobic
15;faggitt;homophobic
16;faggs;homophobic
17;fagots;homophobic
18;fags;homophobic
19;fannyfucker;homophobic
20;fingerfucker;homophobic
21;fistfuckers;homophobic
22;fudgepacker;homophobic
23;gaysex;homophobic
24;nob;homophobic
25;jokey;homophobic
26;nobhead;homophobic
27;nobjocky;homophobic
28;nobjokey;homophobic
29;queer;homophobic
30;queers;homophobic
31;rimjaw;homophobic
32;alla;hostile language
33;dickface;hostile language
34;fatass;hostile language
35;fuckface;hostile language
36;lardass;hostile language
37;assface;hostile language
38;asshat;hostile language
39;bitchin;hostile language
40;buttface;hostile language
41;clitface;hostile language
42;cumquat;hostile language
43;dum;hostile language
44;dumb;hostile language
45;fuckedup;hostile language
46;fuckin;hostile language
47;fuckinnuts;hostile language
48;fuckinright;hostile language
49;jackass;hostile language
50;shitface;hostile language
51;demon;hostile language
52;demonrats;hostile language
53;dickwad;hostile language
54;asshead;hostile language
55;assshit;hostile language
56;asswipe;hostile language
57;boang;hostile language
58;cockhead;hostile language
59;dickbrain;hostile language
60;dickweed;hostile language
61;dink;hostile language
62;dipstick;hostile language
63;douchebag;hostile language
64;dumbass;hostile language
65;dumbbitch;hostile language
66;dumbfuck;hostile language
67;fuckhead;hostile language
68;fucktard;hostile language
69;moron;hostile language
70;retard;hostile language
71;shitfaced;hostile language
72;shithead;hostile language
73;shitspitter;hostile language
74;turd;hostile language
75;tard;hostile language
76;wuss;hostile language
77;assbag;hostile language
78;dipshit;hostile language
79;douche;hostile language
80;idiot;hostile language
81;failure;hostile language
82;fuc;hostile language
83;pos;hostile language
84;scumbag;hostile language
85;b17ch;hostile language
86;b1tch;hostile language
87;beat;hostile language
88;biatch;hostile language
89;bitchers;hostile language
90;bitches;hostile language
91;blockhead;hostile language
92;blockheads;hostile language
93;bogan;hostile language
94;bogans;hostile language
95;butterhead;hostile language
96;butterheads;hostile language
97;chav;hostile language
98;chavs;hostile language
99;conchuda;hostile language
100;conchudas;hostile language
101;cunts;hostile language
102;dingo;hostile language
103;entrap;hostile language
104;extort;hostile language
105;gash;hostile language
106;gashes;hostile language
107;hayseed;hostile language
108;hick;hostile language
109;hicks;hostile language
110;ho;hostile language
111;hoar;hostile language
112;hoare;hostile language
113;hoe;hostile language
114;hoer;hostile language
115;hoes;hostile language
116;hoodrat;hostile language
117;hoodrats;hostile language
118;hos;hostile language
119;hurt;hostile language
120;idiots;hostile language
121;intimidate;hostile language
122;l3i;hostile language
123;l3itch;hostile language
124;menace;hostile language
125;mock;hostile language
126;mocks;hostile language
127;mothafuck;hostile language
128;mothafuckas;hostile language
129;mothafuckaz;hostile language
130;mothafucked;hostile language
131;mothafucker;hostile language
132;mothafuckers;hostile language
133;mothafucks;hostile language
134;motherfuck;hostile language
135;motherfucked;hostile language
136;motherfuckers;hostile language
137;motherfuckings;hostile language
138;motherfuckka;hostile language
139;motherfucks;hostile language
140;muthafecker;hostile language
141;muthafuckker;hostile language
142;mutherfucker;hostile language
143;palefaces;hostile language
144;pohms;hostile language
145;punish;hostile language
146;pusse;hostile language
147;pussi;hostile language
148;pussys;hostile language
149;rednecks;hostile language
150;retarded;hostile language
151;russellite;hostile language
152;russellites;hostile language
153;scag;hostile language
154;scags;hostile language
155;seppos;hostile language
156;sheepfucker;hostile language
157;sheepfuckers;hostile language
158;shit;hostile language
159;skag;hostile language
160;skags;hostile language
161;slag;hostile language
162;slags;hostile language
163;slit;hostile language
164;slits;hostile language
165;smear;hostile language
166;subhuman;hostile language
167;subhumans;hostile language
168;terrorize;hostile language
169;threaten;hostile language
170;thrust;hostile language
171;tw4t;hostile language
172;twathead;hostile language
173;twats;hostile language
174;twatty;hostile language
175;twunt;hostile language
176;twunter;hostile language
177;wasps;hostile language
178;whities;hostile language
179;whoar;hostile language
180;whores;hostile language
181;beta;incel and antiFeminism
182;mra;incel and antiFeminism
183;normie;incel and antiFeminism
184;blackops2cel;incel and antiFeminism
185;blackpill;incel and antiFeminism
186;chad;incel and antiFeminism
187;cope;incel and antiFeminism
188;cuck;incel and antiFeminism
189;currycel;incel and antiFeminism
190;fakecel;incel and antiFeminism
191;friendless;incel and antiFeminism
192;gymcel;incel and antiFeminism
193;handholdless;incel and antiFeminism
194;heightcel;incel and antiFeminism
195;hugless;incel and antiFeminism
196;hypergamy;incel and antiFeminism
197;incel;incel and antiFeminism
198;jbw;incel and antiFeminism
199;jfl;incel and antiFeminism
200;kissless;incel and antiFeminism
201;kthhfv;incel and antiFeminism
202;ldar;incel and antiFeminism
203;looksmatch;incel and antiFeminism
204;looksmaxx;incel and antiFeminism
205;meeks;incel and antiFeminism
206;mogs;incel and antiFeminism
207;redpill;incel and antiFeminism
208;ricecel;incel and antiFeminism
209;rope;incel and antiFeminism
210;touchless;incel and antiFeminism
211;truecel;incel and antiFeminism
212;tyrone;incel and antiFeminism
213;volcel;incel and antiFeminism
214;wagecel;incel and antiFeminism
215;wristcel;incel and antiFeminism
216;feminazi;incel and antiFeminism
217;sjw;incel and antiFeminism
218;sjw's;incel and antiFeminism
219;sjws;incel and antiFeminism
220;antifeminism;incel and antiFeminism
221;mgtow;incel and antiFeminism
222;antifeminist;incel and antiFeminism
223;pussypass;incel and antiFeminism
224;whitelivesmatter;incel and antiFeminism
225;gamersriseup;incel and antiFeminism
226;awalt;incel and antiFeminism
227;ewalt;incel and antiFeminism
228;minassian;incel and antiFeminism
229;femoid;incel and antiFeminism
230;pua;incel and antiFeminism
231;leftist;political
232;libtards;political
233;propaganda;political
234;rino;political
235;snowflake;political
236;troll;political
237;coon;racism
238;blackman;racism
239;eskimo;racism
240;ethiopian;racism
241;indian;racism
242;negress;racism
243;asian;racism
244;redneck;racism
245;towelhead;racism
246;abbo;racism
247;abo;racism
248;african;racism
249;forklift;racism
250;arab;racism
251;argie;racism
252;assnigger;racism
253;beaner;racism
254;bohunk;racism
255;boong;racism
256;bounty;racism
257;jockey;racism
258;canadian;racism
259;canuck;racism
260;chinaman;racism
261;chinc;racism
262;chink;racism
263;chinky;racism
264;clog;racism
265;wog;racism
266;cocknose;racism
267;colored;racism
268;coloured;racism
269;coolie;racism
270;coolies;racism
271;cracker;racism
272;cunteyed;racism
273;dago;racism
274;darkie;racism
275;darky;racism
276;ethnic;racism
277;filipina;racism
278;filipino;racism
279;fok;racism
280;frog;racism
281;gipsy;racism
282;gook;racism
283;goy;racism
284;goyim;racism
285;greaseball;racism
286;gringo;racism
287;guido;racism
288;gypsy;racism
289;halfbreed;racism
290;halfcaste;racism
291;haole;racism
292;hapa;racism
293;hebe;racism
294;heeb;racism
295;hillbilly;racism
296;hindoo;racism
297;hodgie;racism
298;honkey;racism
299;honky;racism
300;hore;racism
301;injun;racism
302;jap;racism
303;jerry;racism
304;jiga;racism
305;jigaboo;racism
306;jigga;racism
307;jijjiboo;racism
308;jimfish;racism
309;jock;racism
310;junglebunny;racism
311;kaffir;racism
312;kafir;racism
313;kike;racism
314;kraut;racism
315;kyke;racism
316;makwerekwere;racism
317;mammy;racism
318;mick;racism
319;mooncricket;racism
320;mosshead;racism
321;mulatto;racism
322;negro;racism
323;negros;racism
324;negroes;racism
325;negroid;racism
326;nig;racism
327;nigaboo;racism
328;niger;racism
329;nigg;racism
330;nigga;racism
331;niggah;racism
332;niggaz;racism
333;niggers;racism
334;nigger;racism
335;niggor;racism
336;niggur;racism
337;niglet;racism
338;nignog;racism
339;nigr;racism
340;nigra;racism
341;nigre;racism
342;nlgger;racism
343;nlggor;racism
344;nonwhite;racism
345;oriental;racism
346;paddy;racism
347;pakeha;racism
348;paki;racism
349;paleface;racism
350;peckerwood;racism
351;picaninny;racism
352;pickaninny;racism
353;pocho;racism
354;pocohantas;racism
355;pohm;racism
356;polack;racism
357;pollock;racism
358;pommy;racism
359;porch;racism
360;monkey;racism
361;porchmonkey;racism
362;primitive;racism
363;pygmy;racism
364;racist;racism
365;raghead;racism
366;redskin;racism
367;ruski;racism
368;sandnigger;racism
369;savage;racism
370;seppo;racism
371;snownigger;racism
372;spade;racism
373;spaghettibender;racism
374;spaghettinigger;racism
375;spic;racism
376;spick;racism
377;spook;racism
378;squaw;racism
379;taffy;racism
380;timbernigger;racism
381;trailertrash;racism
382;wasp;racism
383;waspy;racism
384;wetback;racism
385;whigger;racism
386;whitenigger;racism
387;whitey;racism
388;wop;racism
389;yank;racism
390;yankee;racism
391;yellowman;racism
392;yid;racism
393;zigabo;racism
394;zipperhead;racism
395;abbos;racism
396;abos;racism
397;catfish;racism
398;catfishes;racism
399;africoon;racism
400;africoons;racism
401;afro;racism
402;saxon;racism
403;saxons;racism
404;albino;racism
405;albinos;racism
406;baits;racism
407;americoon;racism
408;americoons;racism
409;amo;racism
410;amos;racism
411;anglo;racism
412;anglos;racism
413;argies;racism
414;armo;racism
415;armos;racism
416;jemima;racism
417;jemimas;racism
418;bamboo;racism
419;coons;racism
420;banana;racism
421;bender;racism
422;benders;racism
423;lander;racism
424;landers;racism
425;dipper;racism
426;dippers;racism
427;shnitzel;racism
428;shnitzels;racism
429;beaners;racism
430;beaney;racism
431;beanies;racism
432;bhrempti;racism
433;bhremptis;racism
434;bix;racism
435;nood;racism
436;noods;racism
437;barbie;racism
438;barbies;racism
439;dagos;racism
440;blaxican;racism
441;blaxicans;racism
442;bluegum;racism
443;bluegums;racism
444;bog;racism
445;hopper;racism
446;hoppers;racism
447;irish;racism
448;irishes;racism
449;jumper;racism
450;jumpers;racism
451;trotter;racism
452;trotters;racism
453;booner;racism
454;booners;racism
455;boongas;racism
456;boongs;racism
457;boonie;racism
458;boonies;racism
459;border;racism
460;bunnies;racism
461;bunny;racism
462;buckethead;racism
463;bucketheads;racism
464;buckra;racism
465;buckras;racism
466;buckwheat;racism
467;buckwheats;racism
468;buddhahead;racism
469;buddhaheads;racism
470;buffie;racism
471;buffies;racism
472;buk;racism
473;buks;racism
474;bung;racism
475;bungas;racism
476;bungs;racism
477;burrhead;racism
478;burrheads;racism
479;cowboies;racism
480;humper;racism
481;humpers;racism
482;jackers;racism
483;pilot;racism
484;pilots;racism
485;carrot;racism
486;snapper;racism
487;snappers;racism
488;caublasian;racism
489;caublasians;racism
490;charva;racism
491;charvas;racism
492;chigger;racism
493;chiggers;racism
494;chinese;racism
495;wetbacks;racism
496;ching;racism
497;chong;racism
498;chongs;racism
499;chinig;racism
500;chinigs;racism
501;billies;racism
502;billy;racism
503;chinks;racism
504;christkillers;racism
505;christkiller;racism
506;chug;racism
507;chugs;racism
508;clamhead;racism
509;clamheads;racism
510;crackers;racism
511;stinker;racism
512;stinkers;racism
513;cushi;racism
514;cushis;racism
515;cushite;racism
516;cushites;racism
517;darkey;racism
518;darkies;racism
519;dego;racism
520;degos;racism
521;diaperhead;racism
522;dinge;racism
523;dinges;racism
524;dogun;racism
525;doguns;racism
526;eyetie;racism
527;eyeties;racism
528;fob;racism
529;fobs;racism
530;fog;racism
531;gator;racism
532;gerudo;racism
533;gerudos;racism
534;gew;racism
535;gews;racism
536;ghetto;racism
537;hamster;racism
538;hamsters;racism
539;ginzo;racism
540;ginzos;racism
541;gipp;racism
542;gippo;racism
543;gippos;racism
544;gipps;racism
545;golliwog;racism
546;golliwogs;racism
547;gookies;racism
548;gooks;racism
549;gooky;racism
550;greaser;racism
551;greasers;racism
552;groid;racism
553;groids;racism
554;guala;racism
555;gualas;racism
556;gub;racism
557;gubba;racism
558;gubbas;racism
559;gubs;racism
560;guidos;racism
561;gurrier;racism
562;gurriers;racism
563;gwat;racism
564;gwats;racism
565;gyppie;racism
566;gyppies;racism
567;gyppy;racism
568;hairyback;racism
569;hairybacks;racism
570;halfrican;racism
571;halfricans;racism
572;hebes;racism
573;hebro;racism
574;hebros;racism
575;heebs;racism
576;heinie;racism
577;heinies;racism
578;higger;racism
579;higgers;racism
580;honyak;racism
581;honyaks;racism
582;honyock;racism
583;honyocks;racism
584;hoosier;racism
585;hoosiers;racism
586;hun;racism
587;hunkie;racism
588;hunkies;racism
589;hunky;racism
590;huns;racism
591;hunyak;racism
592;hunyaks;racism
593;hunyock;racism
594;hunyocks;racism
595;hymie;racism
596;hymies;racism
597;monkies;racism
598;ike;racism
599;ikes;racism
600;ikey;racism
601;ikies;racism
602;iky;racism
603;injuns;racism
604;jant;racism
605;jants;racism
606;japie;racism
607;japies;racism
608;japs;racism
609;jewbacca;racism
610;jewbaccas;racism
611;jhant;racism
612;jhants;racism
613;jig;racism
614;jigarooni;racism
615;jigaroonis;racism
616;jigg;racism
617;jiggabos;racism
618;jiggas;racism
619;jigger;racism
620;jiggers;racism
621;jiggs;racism
622;jigs;racism
623;jijjiboos;racism
624;jockie;racism
625;jocky;racism
626;khazar;racism
627;khazars;racism
628;kikes;racism
629;kotiya;racism
630;kotiyas;racism
631;krauts;racism
632;kushi;racism
633;kushis;racism
634;kushite;racism
635;kushites;racism
636;kykes;racism
637;latrino;racism
638;latrinos;racism
639;lawn;racism
640;leb;racism
641;lebbo;racism
642;lebbos;racism
643;lebs;racism
644;lemonhead;racism
645;lemonheads;racism
646;leprechaun;racism
647;leprechauns;racism
648;ling;racism
649;lings;racism
650;lowlander;racism
651;lowlanders;racism
652;lubra;racism
653;lubras;racism
654;lugan;racism
655;lugans;racism
656;mangia;racism
657;micks;racism
658;mockey;racism
659;mockie;racism
660;mockies;racism
661;mocky;racism
662;moke;racism
663;mokes;racism
664;mokies;racism
665;moky;racism
666;mook;racism
667;mooks;racism
668;moss;racism
669;mossheads;racism
670;moulie;racism
671;moulies;racism
672;moulignon;racism
673;moulignons;racism
674;moulinyan;racism
675;moulinyans;racism
676;mudslime;racism
677;muk;racism
678;muks;racism
679;muktuk;racism
680;muktuks;racism
681;mulato;racism
682;mulatos;racism
683;mulignan;racism
684;mulignans;racism
685;mutt;racism
686;mutts;racism
687;n1gga;racism
688;n1gger;racism
689;negros;racism
690;nichi;racism
691;nichis;racism
692;nichiwa;racism
693;nichiwas;racism
694;nigar;racism
695;nigars;racism
696;nigers;racism
697;nigette;racism
698;nigettes;racism
699;nigg3r;racism
700;nigg4h;racism
701;niggas;racism
702;niggors;racism
703;nigor;racism
704;nigors;racism
705;nigras;racism
706;nigres;racism
707;nitchee;racism
708;nitchees;racism
709;nitchie;racism
710;nitchies;racism
711;nitchy;racism
712;ocker;racism
713;ockers;racism
714;octaroon;racism
715;octaroons;racism
716;ofaies;racism
717;ofay;racism
718;orientals;racism
719;paddies;racism
720;pakis;racism
721;papist;racism
722;papists;racism
